"filename", "language", "Markdown", "C#", "JSON", "XML", "JavaScript", "CSS", "JavaScript JSX", "Log", "HTML", "Docker", "comment", "blank", "total"
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\CHANGELOG.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Controllers\DataStreamController.cs", "C#", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 96
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Controllers\HomeController.cs", "C#", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 14, 36, 243
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Controllers\LogsController.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 39
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 7, 9, 43
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Mabinogi_Damage_Tracker.Server.csproj", "XML", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Models\DamageDetails.cs", "C#", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Models\ErrorViewModel.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Models\RecordingDetails.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Models\SkillDamage_Simple.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 24
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Parser.cs", "C#", 0, 408, 0, 0, 0, 0, 0, 0, 0, 0, 11, 81, 500
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Program.cs", "C#", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 94
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Properties\PublishProfiles\FolderProfile.pubxml", "XML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\Properties\launchSettings.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\appsettings.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\build.log", "Log", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 31
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\classes.cs", "C#", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 79
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\db_helper.cs", "C#", 0, 1015, 0, 0, 0, 0, 0, 0, 0, 0, 44, 133, 1192
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\dist\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\dist\appsettings.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\msbuild.log", "Log", 0, 0, 0, 0, 0, 0, 0, 10563, 0, 0, 0, 89, 10652
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\appsettings.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\ABOUTPAGE.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\README.md", "Markdown", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 104
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\RECOGNITIONS.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\TONEXONEN.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\TONEXONKR.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\asset-manifest.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\overlay.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 453, 0, 0, 64, 517
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\skill_names_ja.json", "JSON", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\static\css\main.d9494484.css", "CSS", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\static\js\453.356b2c22.chunk.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\static\js\main.023583b1.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 3
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\static\js\main.387d60cb.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 3
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\client\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\dist\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\publish_v2\dist\appsettings.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.Server\skill_ids.cs", "C#", 0, 935, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 940
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\CHANGELOG.md", "Markdown", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\build_error.log", "Log", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 87
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\eslint.config.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\package-lock.json", "JSON", 0, 0, 18787, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18788
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\package.json", "JSON", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\public\ABOUTPAGE.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\public\README.md", "Markdown", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 104
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\public\RECOGNITIONS.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\public\TONEXONEN.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\public\TONEXONKR.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 18, 110
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\public\overlay.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 453, 0, 0, 64, 517
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\public\skill_names_ja.json", "JSON", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\App.css", "CSS", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\AppContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 11, 11, 78
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 3, 26
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\Report.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\AboutMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\AnalyticsMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 302, 0, 0, 0, 6, 35, 343
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\BurstCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 5, 8, 68
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\DamageCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 3, 4, 67
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\DamageOverTimeLineGraph.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 5, 9, 108
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\DamageScatterPlot.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 12, 127
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\DecoratedDamageOverTimeLineGraph.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 348, 0, 0, 0, 1, 36, 385
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\DotsMobileStepper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\HealingCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 48
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\HomeMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 8, 52
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\LargestHitCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 8, 9, 73
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\LiveMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 303, 0, 0, 0, 14, 41, 358
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\LogStream.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 10, 11, 88
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\MainContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 44
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\MenuContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 10, 5, 70
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\NumberField.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 6, 119
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\PlayerCountCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 2, 41
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\PlayerDamageGauge.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 10, 11, 119
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\PlayerDamagePieChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 7, 13, 156
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\PlayerTotalDamageBarChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\PlayersMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 8, 12, 152
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\RecordingsMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 4, 19, 213
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\SettingsMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 7, 19, 229
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\SideMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 5, 4, 52
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\SkillDamageBarChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 9, 13, 185
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\SkillDamagePieChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 4, 17, 218
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\TimeCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 1, 4, 49
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\components\TrimLineGraph.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 281, 0, 0, 0, 14, 37, 332
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\index.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\index.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 2, 17
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 2, 19
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 1, 5
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\theme\AppTheme.js", "JavaScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 6, 72
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\theme\customizations\charts.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\theme\customizations\dataDisplay.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\theme\customizations\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\theme\customizations\surfaces.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\src\theme\themePrimitives.js", "JavaScript", 0, 0, 0, 0, 386, 0, 0, 0, 0, 0, 1, 15, 402
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"e:\Mabinogi-Damage-Tracker-1.0\Mabinogi_Damage_Tracker.client\vite.config.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"e:\Mabinogi-Damage-Tracker-1.0\OverlayApp\App.xaml", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Mabinogi-Damage-Tracker-1.0\OverlayApp\App.xaml.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\Mabinogi-Damage-Tracker-1.0\OverlayApp\MainWindow.xaml", "XML", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 4, 77
"e:\Mabinogi-Damage-Tracker-1.0\OverlayApp\MainWindow.xaml.cs", "C#", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25, 144
"e:\Mabinogi-Damage-Tracker-1.0\OverlayApp\OverlayApp.csproj", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"e:\Mabinogi-Damage-Tracker-1.0\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"e:\Mabinogi-Damage-Tracker-1.0\msbuild.log", "Log", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 9, 157
"e:\Mabinogi-Damage-Tracker-1.0\package-lock.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"Total", "-", 231, 3022, 19342, 154, 532, 55, 3369, 10829, 1033, 27, 265, 1114, 39973